DRUG_ID,Drug_Name,N_Colon,N_Other,Mean_LN_IC50_Colon,Mean_LN_IC50_Other,Diff_Colon_vs_Other,MannWhitney_p,Bonferroni_Sig,Bonferroni_Threshold,LogP
1613,VE-822,47,847,3.8248355106382985,3.0929798004722553,0.7318557101660432,0.007594150392487839,False,0.00016949152542372882,2.1195208064613196
1057,Dactolisib,45,913,-0.8603804888888889,-1.5427786637458927,0.6823981748570038,0.007749565604684631,False,0.00016949152542372882,2.1107226408195983
1529,Pevonedistat,45,911,1.6154503333333339,0.8347235828759605,0.7807267504573734,0.007860875002491365,False,0.00016949152542372882,2.104529109481804
1776,GSK2256098C,45,672,4.702714088888889,4.272450669642858,0.43026341924603173,0.008265698216910389,False,0.00016949152542372882,2.0827204549850014
1009,Tretinoin,6,219,5.675196833333334,4.754853785388128,0.9203430479452059,0.0092563578991962,False,0.00016949152542372882,2.033559861636146
2003,N29087-69-1,41,702,5.734443878048781,5.341724806267806,0.39271907178097454,0.009438918083908895,False,0.00016949152542372882,2.0250777829388125
1909,Venetoclax,45,913,3.126997222222222,2.3372284041621034,0.7897688180601188,0.009738570047950888,False,0.00016949152542372882,2.0115048075849877
1080,Paclitaxel,45,913,-1.9972495555555556,-2.8980081018619934,0.9007585463064378,0.010281580017327404,False,0.00016949152542372882,1.9879401401968995
1084,Rapamycin,44,906,-1.2767766136363636,-1.9271370044150111,0.6503603907786475,0.010649855365714759,False,0.00016949152542372882,1.9726562902814413
1013,Nilotinib,45,910,4.0129027555555545,3.3321127824175822,0.6807899731379723,0.010726259727839969,False,0.00016949152542372882,1.9695516911504984
1739,JAK_8517,45,672,3.6231314444444447,2.967480941964286,0.6556505024801589,0.01097070164866066,False,0.00016949152542372882,1.9597655955431688
1200,Fulvestrant,45,918,3.4265534222222223,3.0530707026143786,0.3734827196078436,0.011359698104493799,False,0.00016949152542372882,1.9446332102882615
1720,AZD5991,45,668,4.859554688888888,3.6771386616766475,1.1824160272122408,0.011529766885019341,False,0.00016949152542372882,1.9381794734141657
2113,VTP-B,40,697,3.2921617749999994,2.8877828723098995,0.4043789026900999,0.012421672276150056,False,0.00016949152542372882,1.9058199330309886
1047,Nutlin-3a (-),47,921,4.861088085106384,4.398609841476656,0.4624782436297279,0.012799670544012256,False,0.00016949152542372882,1.8928012086926707
2177,SGC0946,46,900,2.4138689565217386,2.0884980522222225,0.3253709042995161,0.013409030097883655,False,0.00016949152542372882,1.8726026344057245
1494,SN-38,46,909,-1.1088664565217392,-2.223161715071507,1.1142952585497679,0.014288314155484703,False,0.00016949152542372882,1.845019009568802
1191,Bortezomib,45,912,-4.500974577777778,-4.7508466469298245,0.24987206915204663,0.014644085305181211,False,0.00016949152542372882,1.8343377499174136
1629,ML323,47,845,4.902138276595744,4.515753544378698,0.3863847322170466,0.015404938966621129,False,0.00016949152542372882,1.8123400179904787
1046,Wee1 Inhibitor,45,912,2.4734185333333336,1.9722383826754386,0.501180150657895,0.015778782061399498,False,0.00016949152542372882,1.8019265223196996
1998,BPD-00008900,41,702,4.9935018780487805,4.557665232193733,0.4358366458550478,0.016113233517298063,False,0.00016949152542372882,1.7928172989472193
2037,GSK343,38,703,5.012497973684211,4.433212264580369,0.5792857091038419,0.016188921586702886,False,0.00016949152542372882,1.7907820804957408
1048,Mirin,47,847,5.112125914893617,4.764505825265643,0.3476200896279735,0.016458863094796564,False,0.00016949152542372882,1.7836001672227157
1175,Rucaparib,46,902,4.323976,3.969851777161862,0.3541242228381378,0.016518193043738246,False,0.00016949152542372882,1.7820374627090179
1089,Oxaliplatin,47,920,3.33942914893617,3.832663085869565,-0.4932339369333949,0.017211012140704543,False,0.00016949152542372882,1.7641935890450333
2158,CPI-637,42,699,4.733137642857143,4.117389537911302,0.6157481049458404,0.017883880081961616,False,0.00016949152542372882,1.7475382508995636
1799,Ibrutinib,47,843,4.58266414893617,4.02659609489917,0.5560680540370004,0.018155691726341152,False,0.00016949152542372882,1.7409871999480013
2360,THR-101,42,689,5.497718071428571,5.106192984034833,0.39152508739373815,0.018839772131281175,False,0.00016949152542372882,1.7249243543417434
